城市,代码
鹿邑,luyi
漯河,luohe
临颍,linying
灵宝,lingbao
卢氏,lushi
溧水,lishui2
六合,luhe1
梁溪,liangxiqu
涟水,lianshui
连云港,lianyungang
连云,lianyun
溧阳,liyang
老河口,laohekou
梁子湖,liangzihu
罗田,luotian
利川,lichuan
来凤,laifeng
临安,linan
临海,linhai
路桥,luqiao
鹿城,luchengqu
龙湾,longwanqu
丽水,lishui
龙泉,longquan
莲都,liandu
兰溪,lanxi1
龙游,longyou
庐阳,luyang
庐江,lujiang
龙子湖,longzihu
灵璧,lingbi
临泉,linquan
利辛,lixin
来安,laian
琅琊,langyaqu
烈山,lieshan
郎溪,langxi
六安,luan
罗源,luoyuan
连江,lianjiang
荔城,licheng1
鲤城,lichengqu
洛江,luojiangqu1
龙海,longhai
龙文,longwen
龙岩,longyan
连城,liancheng
庐山,lushan1
濂溪,lianxi
乐安,lean
黎川,lichuan1
临川,linchuanqu
龙南,longnan
乐平,leping
莲花,lianhua
芦溪,luxi3
浏阳,liuyang
醴陵,liling
芦淞,lusongqu
耒阳,leiyang
临武,linwu
澧县,lixian2
临澧,linli
娄底,loudi
冷水江,lengshuijiang
涟源,lianyuan
娄星,louxing
隆回,longhui
临湘,linxiang
蓝山,lanshan
冷水滩,lengshuitan
零陵,lingling
泸溪,luxi
龙山,longshan
龙里,longli
罗甸,luodian
荔波,libo
雷山,leishan
黎平,liping
六枝,liuzhi
六盘水,liupanshui
龙泉驿,longquanyi
阆中,langzhong
邻水,linshui
泸州,luzhou
泸县,luxian
龙马潭,longmatan
隆昌,longchang
乐至,lezhi
乐山,leshan
凉山,liangshan1
雷波,leibo
芦山,lushanxian
泸定,luding
炉霍,luhuo
理塘,litang
理县,lixian3
罗江,luojiang
利州,lizhou
荔湾,liwan
乐昌,lechang
龙门,longmen
龙湖,longhu
龙岗,longgang
龙华,longhuaqu
雷州,leizhou
廉江,lianjiangshi
连平,lianping
龙川,longchuan
连南,liannan
连州,lianzhou
连山,lianshan
罗定,luoding
陆丰,lufeng
陆河,luhe
禄劝,luquan
绿春,lvchun
泸西,luxi1
陆良,luliang
罗平,luoping
龙陵,longling
隆阳,longyangqu
禄丰,lufengxian
澜沧,lancang
鲁甸,ludian
临沧,lincang
临翔,linxiangqu
兰坪,lanping
泸水,lushui
六库,liuku
丽江,lijiang
陇川,longchuanxian
梁河,lianghe
潞西,luxixian
隆安,longan
良庆,liangqing
龙州,longzhou
柳州,liuzhou
柳城,liucheng
鹿寨,luzhai
柳江,liujiangqu
柳南,liunan
来宾,laibin
龙胜,longsheng
临桂,lingui
灵川,lingchuanxian
荔浦,lipu
龙胜,longshenggezuzizhixian
龙圩,longweiqu
陆川,luchuan
隆林,longlin
乐业,leye
凌云,lingyun
隆林,longlinqu
灵山,lingshan
罗城,luocheng
龙华,longhua1
临高,lingao
陵水,lingshui
乐东黎族,ledong
路氹城,ludangcheng
连江,taiwanlianjiang
密云,miyun
门头沟,mentougou
闵行,minhang
木兰,mulan
梅里斯达斡尔族,meilisidawoerzuqu
牡丹江,mudanjiang
穆棱,muling
明水,mingshui
漠河,mohe
美溪,meixiqu
密山,mishan
麻山,mashanqu
梅河口,meihekou
明山,mingshanqu
满都拉,mandula
莫力达瓦,molidawa
满洲里,manzhouli
满城,mancheng
孟村,mengcun
米脂,mizhi
勉县,mianxian
眉县,meixian
牟平,muping
蒙阴,mengyin
牡丹,mudanqu
米东,midongqu
莫索湾,mosuowan
米泉,miquan
玛纳斯,manasi
木垒,mulei
麦盖提,maigaiti
墨玉,moyu
民丰,mingfeng
墨竹工卡,mozhugongka
米林,milin
墨脱,motuo
芒康,mangkang
民和,minhe
玛多,madu
玛沁,maqin
茫崖,mangai
门源,menyuan
岷县,minxian
民勤,minqin
民乐,minle
麦积,maiji
玛曲,maqu
牧野,muyequ
孟津,mengjin
民权,minquan
孟州,mengzhou
马村,macunqu
渑池,mianchi
麻城,macheng
茅箭,maojian
马鞍山,maanshan
蒙城,mengcheng
明光,mingguang
闽清,minqing
闽侯,minhou
马尾,maweiqu
明溪,mingxi
梅列,meiliequ
马坡岭,mapoling
汨罗,miluo
麻阳,mayang
湄潭,meitan
麻江,majiang
米易,miyi
绵阳,mianyang
沐川,muchuan
马边,mabian
眉山,meishan
木里,muli
冕宁,mianning
美姑,meigu
名山,mingshan
茂县,maoxian
马尔康,maerkang
绵竹,mianzhu
梅州,meizhou
梅县,meixian1
梅江,meijiangqu
麻章,mazhang
茂名,maoming
茂港,maogang
茂南,maonanqu
弥渡,midu
弥勒,mile
蒙自,mengzi
马龙,malong
马关,maguan
麻栗坡,malipo
牟定,mouding
墨江,mojiang
孟连,menglian
芒市,mangshi
芒市,mangshiqu
勐海,menghai
勐腊,mengla
马山,mashan
蒙山,mengshan
美兰,meilan
苗栗,miaoli
宁河,ninghe
南开,nankaiqu
南岸,nananqu
南川,nanchuan
南岗,nangangqu
讷河,nehe
碾子山,nianzishanqu
宁安,ningan
嫩江,nenjiang
南岔,nanchaqu
南山,hegangnansanqu
农安,nongan
南关,nanguanqu
宁江,ningjiangqu
南芬,nanfenqu
南票,nanpiaoqu
奈曼,naiman
宁城,ningcheng
那仁宝力格,narenbaolige
诺尔贡,nuoergong
南市,nanshiqu
南皮,nanpi
内丘,neiqiu
南和,nanhe
宁晋,ningjin
南宫,nangong
南郊,nanjiaoqu
宁武,ningwu
宁陕,ningshan
宁强,ningqiang
南郑,nanzheng
宁津,ningjin1
宁阳,ningyang
尼勒克,nileke
尼木,nimu
那曲地,nagqu
南木林,nanmulin
聂拉木,nielamu
乃东,naidong
那曲,naqu
尼玛,nima
聂荣,nierong
囊谦,nangqian
宁县,ningxian
内黄,neihuang
南阳,nanyang
南召,nanzhao
内乡,neixiang
宁陵,ningling
南乐,nanle
南京,nanjing
南长,nanchangqu
南通,nantong
南漳,nanzhang
南浔,nanxun
南湖,nanhuqu
宁波,ningbo
宁海,ninghai
南陵,nanling
南谯,nanqiaoqu
宁国,ningguo
宁德,ningde
南安,nanan
南靖,nanjing2
宁化,ninghua
南平,nanping
南昌,nanchang
南昌,nanchangxian
南城,nancheng
南丰,nanfeng
南康,nankang
宁都,ningdu
宁乡,ningxiang
南岳,nanyue
南县,nanxian
宁远,ningyuan
南明,nanming
纳雍,nayong
南充,nanchong
南部,nanbu
南江,nanjiang
纳溪,naxi
南溪,nanxi
内江,neijiang
宁南,ningnan
若尔盖,nuoergai
萝岗,luogang
南沙,nanshaqu
南雄,nanxiong
南澳,nanao
罗湖,luohu
南山,nanshanqu
南海,nanhai
南涧,nanjian
南华,nanhua
宁洱,ninger
怒江,nujiang
宁蒗,ninglang
南宁,nanning
宁明,ningming
那坡,napo
南丹,nandan
南沙,nanshadao
南投,nantou
瓯海,ouhaiqu
平谷,pinggu
南汇,nanhui
浦东,pudong
普陀,putuoqu
彭水,pengshui
平房,pingfangqu
磐石,panshi
普兰店,pulandian
平山,pingshanqu
盘锦,panjin
盘山,panshan
平山,pingshan
平泉,pingquan
平乡,pingxiang
平定,pingding
平遥,pingyao
平顺,pingshun
蒲县,puxian
平陆,pinglu
平鲁,pinglu1
偏关,pianguan
蒲城,pucheng
平利,pingli
平阴,pingyin
平度,pingdu
平原,pingyuan
蓬莱,penglai
平邑,pingyi
炮台,paotai
皮山,pishan
帕里,pali
普兰,pulan
平安,pingan
平凉,pingliang
平川,pingchuan
平罗,pingluo
彭阳,pengyang
平顶山,pingdingshan
平桥,pingqiaoqu
濮阳,puyang
濮阳,puyangxian
平舆,pingyu
浦口,pukou
平江,pingjiangqu
沛县,peixian
邳州,pizhou
平湖,pinghu
平阳,pingyang
浦江,pujiang
磐安,panan
普陀,putuo
潘集,panji
平潭,pingtan
屏南,pingnan
莆田,putian
平和,pinghe
浦城,pucheng1
彭泽,pengze
鄱阳,poyang
萍乡,pingxiang1
平江,pingjiang
普定,puding
平坝,pingba
平塘,pingtang
盘州,panxian
普安,puan
郫都,pixian
蒲江,pujiang1
彭州,pengzhou
攀枝花,panzhihua
平武,pingwu
蓬安,pengan
蓬溪,pengxi
平昌,pingchang
屏山,pingshanxian
彭山,pengshan
普格,puge
番禺,panyu
平远,pingyuanxian
坪山,pingshan1
坡头,potou
蓬江,pengjiang
普宁,puning
盘龙,panlong
屏边,pingbian
普洱,puer
凭祥,pingxiangshi
平乐,pingle
平桂,pingguiqu
平桂,pinggui
平南,pingnan1
平果,pingguo
浦北,pubeixian
浦北,pubei
屏东,pingdong
澎湖,penghu
青浦,qingpu
黔江,qianjiang
綦江,qijiang
齐齐哈尔,qiqihaer
前进,qianjinqu
青冈,qinggang
庆安,qingan
七台河,qitaihe
茄子河,qiezihequ
乾安,qianan
前郭,qianguo
千山,qianshanqu
清原,qingyuan
清河门,qinghemenqu
清河,qinghequ
清水河,qingshuihe
青山,qingshanqu
青龙山,qinglongshan
石家庄桥东,shijiazhuangqiaodongqu
桥西,qiaoxiqu
曲阳,quyang
清苑,qingyuan1
张家口桥东,zhangjiakouqiaodong
张家口桥西,zhangjiakouqiaoxiqu
迁西,qianxi
迁安,qianan1
青县,qingxian
清河,qinghe
桥东,qiaodongqu
邢台信都,xingtaiqiaoxiqu
邱县,qiuxian
曲周,quzhou
秦皇岛,qinhuangdao
青龙,qinglong
海港,haigangqu
清徐,qingxu
祁县,qixian
沁县,qinxian
沁源,qinyuan
沁水,qinshui
曲沃,quwo
乾县,qianxian
秦都,qinduqu
杨陵,yangling
清涧,qingjian
千阳,qianyang
岐山,qishan
青岛,qingdao
齐河,qihe
庆云,qingyun
栖霞,qixia
青州,qingzhou
曲阜,qufu
奇台,qitai
且末,qiemo
青河,qinghe1
曲水,qushui
琼结,qiongjie
曲松,qusong
曲麻莱,qumacai
祁连,qilian
七里河,qilihe
庆阳,qingyang
庆城,qingcheng
清水,qingshui
秦安,qinan
秦州,qinzhouqu
青铜峡,qingtongxia
杞县,qixian1
沁阳,qinyang
淇县,qixian2
淇滨,qibinqu
清丰,qingfeng
确山,queshan
栖霞,qixiaqu
秦淮,qinhuaiqu
启东,qidong
泉山,quanshanqu
清浦,qingpuqu
清江浦,qingjiangpu
戚墅堰,qishuyanqu
硚口,qiaokouqu
青山,qingshan
蕲春,qichun
潜江,qianjiang1
青田,qingtian
庆元,qingyuan2
衢州,quzhou1
衢江,qujiang1
潜山,qianshan
谯城,qiaochengqu
祁门,qimen
全椒,quanjiao
青阳,qingyang1
泉州,quanzhou
泉港,quangangqu
清流,qingliu
青云谱,qingyunpuqu
青山湖,qingshanhuqu
青原,qingyuanqu
全南,quannan
祁东,qidong1
祁阳,qiyang
清镇,qingzhen
黔南,qiannan
黔东南,qiandongnan
黔西,qianxi1
七星关,qixingguan
晴隆,qinglong1
黔西南,qianxinan
邛崃,qionglai
青羊,qingyangqu
青白江,qingbaijiangqu
渠县,quxian
前锋,qianfeng
犍为,qianwei
青神,qingshen
青川,qingchuan
曲江,qujiang
清远,qingyuan3
清新,qingxin
清城,qingchengqu
曲靖,qujing
麒麟,qilinqu
丘北,qiubei
巧家,qiaojia
青秀,qingxiu
全州,quanzhouxian
七星,qixing
钦州,qinzhou
钦南,qinnan
钦北,qinbei
琼山,qiongshan
琼中县,qiongzhong
琼海,qionghai
荣昌,rongchang
让胡路,ranghuluqu
饶河,raohe
容城,rongcheng
任丘,renqiu
饶阳,raoyang
任县,renxian
芮城,ruicheng
任城,renchengqu
荣成,rongcheng2
乳山,rushan
日照,rizhao
若羌,ruoqiang
日喀则,rikaze
仁布,renbu
日喀则,shigatsequ
日土,ritu
汝州,ruzhou
汝阳,ruyang
汝南,runan
润州,runzhouqu
如皋,rugao
如东,rudong
瑞安,ruian
瑞昌,ruichang
瑞金,ruijin
汝城,rucheng
仁怀,renhuai
榕江,rongjiang
仁和,renhe
荣县,rongxian
仁寿,renshou
壤塘,rangtang
乳源,ruyuan
仁化,renhua
饶平,raoping
榕城,rongchengqu
瑞丽,ruili
融安,rongan
融水,rongshui
容县,rongxian1
顺义,shunyi
石景山,shijingshan
上海,shanghai
松江,songjiang
沙坪坝,shapingba
石柱,shizhu
双城,shuangcheng
尚志,shangzhi
松北,songbeiqu
绥芬河,suifenhe
绥化,suihua
绥棱,suiling
孙吴,sunwu
上甘岭,shangganlingqu
萨尔图,saertuqu
绥滨,suibin
双鸭山,shuangyashan
四方台,sifangtaiqu
双阳,shuangyang
舒兰,shulan
四平,siping
双辽,shuangliao
松原,songyuan
沈阳,shenyang
沈河,shenhequ
苏家屯,sujiatunqu
沈北,shenbeixinqu
沙河口,shahekouqu
顺城,shunchengqu
双塔,shuangtaqu
双台子,shuangtaiziqu
绥中,suizhong
赛罕,saihanqu
石拐,shiguaiqu
商都,shangdu
四子王旗,siziwangqi
舍伯吐,shebotu
松山,songshanqu
苏左旗,sunitezuoqi
苏左旗,suzuoqi
石家庄,shijiazhuang
深泽,shenze
顺平,shunping
尚义,shangyi
双桥,shuangqiaoqu
双滦,shuangluanqu
三河,sanhe
肃宁,suning
深州,shenzhou
沙河,shahe
涉县,shexian
山海关,shanhaiguanqu
寿阳,shouyang
朔州,shuozhou
山阴,shanyin
朔城,shuocheng
神池,shenchi
石楼,shilou
三原,sanyuan
神木,shenmu
绥德,suide
商洛,shangluo
商州,shangzhou
商南,shangnan
山阳,shanyang
石泉,shiquan
商河,shanghe
市北,shibeiqu
市南,shinan
寿光,shouguang
泗水,sishui
单县,shanxian
石岛,shidao
枣庄市中,shizhongqu
山亭,shantingququ
莘县,shenxian
沙依巴克,saybaghqu
水磨沟,shuimogouqu
石河子,shihezi
鄯善,shanshan
沙雅,shaya
莎车,shache
疏附,shufu
疏勒,shule
沙湾,shawan
萨嘎,saga
萨迦,sajia
桑珠孜,sangzhuzi
山南,shannan
桑日,sangri
索县,suoxian
双湖,shuanghu
申扎,shenzha
狮泉河,shiquanhe
肃南,sunan
山丹,shandan
肃北,subei
肃州,suzhouqu
石嘴山,shizuishan
沙坡头,shapotouqu
上街,shangjie
石龙,shilong
商城,shangcheng
浉河,shihequ
社旗,sheqi
嵩县,songxian
商丘,shangqiu
睢县,suixian
睢阳,suiyangqo
山阳,shanyangqu
山城,shanchengqu
商水,shangshui
沈丘,shenqiu
召陵,shaolingqu
遂平,suiping
上蔡,shangcai
三门峡,sanmenxia
陕县,shanxian1
苏州,suzhou
射阳,sheyang
睢宁,suining2
宿迁,suqian
沭阳,shuyang
泗阳,siyang
泗洪,sihong
宿豫,suyu
宿城,suchengqu
石首,shishou
松滋,songzi
沙市,shashi
三峡,sanxia
十堰,shiyan
神农架,shennongjia
随州,suizhou
随县,suizhousuixian
沙洋,shayang
上城,shangchengqu
绍兴,shaoxing
上虞,shangyu
嵊州,shengzhou
三门,sanmen
遂昌,suichang
松阳,songyang
嵊泗,shengsi
蜀山,shushanqu
三山,sanshanqu
宿松,susong
宿州,suzhou1
泗县,sixian
歙县,shexian2
濉溪,suixi
狮子山,shizishanqu
寿县,shouxian
舒城,shucheng
石台,shitai
思明,simingqu
寿宁,shouning
石狮,shishi
上杭,shanghang
三明,sanming
沙县,shaxian1
三元,sanyuanqu
顺昌,shunchang
邵武,shaowu
松溪,songxi
上饶,shangrao
上饶,shangraoxian
上高,shanggao
遂川,suichuan
上犹,shangyou
石城,shicheng
上栗,shangli
韶山,shaoshan
石峰,shifengqu
石鼓,shiguqu
苏仙,suxian
石门,shimen
双峰,shuangfeng
邵阳,shaoyang
邵东,shaodong
绥宁,suining
邵阳,shaoyangxian
双清,shuangqingqu
桑植,sangzhi
双牌,shuangpai
绥阳,suiyang
三都,sandu
施秉,shibing
三穗,sansui
思南,sinan
石阡,shiqian
松桃,songtao
水城,shuicheng
双流,shuangliu
三台,santai
高坪,gaopingqu
顺庆,shunqing
遂宁,suining1
射洪,shehong
沙湾,shawanqu
石棉,shimian
石渠,shiqu
色达,seda
松潘,songpan
什邡,shifang
韶关,shaoguan
始兴,shixing
汕头,shantou
深圳,shenzhen
顺德,shunde
三水,sanshui
四会,sihui
遂溪,suixixian
汕尾,shanwei
石林,shilin
嵩明,songming
石屏,shiping
师宗,shizong
施甸,sidian
双柏,shuangbai
思茅,simao
绥江,suijiang
水富,shuifu
双江,shuangjiang
上林,shanglin
三江,sanjiang
上思,shangsi
三亚,sanya
圣安多尼,shenganduoni
圣方济各,shnegfangjige
通州,tongzhou
天津,tianjin
塘沽,tanggu
潼南,tongnan
铜梁,tongliang
通河,tonghe
泰来,tailai
铁锋,tiefengqu
汤原,tangyuan
同江,tongjiang
塔河,tahe
铁力,tieli
汤旺河,tangwanghequ
桃山,taoshanqu
图们,tumen
铁西,tiexiqu
铁东,tiedong
通化,tonghua
通化,tonghuaxian
洮南,taonan
通榆,tongyu
洮北,taobeiqu
沈阳铁西,shenyangtiexiqu
台安,taian
铁东,anshantiedong
鞍山铁西,anshantiexiqu
太和,taihequ
太平,taipingqu
太子河,taizihe
铁岭,tieling
铁岭,tielingxian
土左旗,tuzuoqi
托克托,tuoxian
土左旗,tumotezuoqi
托克托,tuoketuo
土右旗,tumoteyouqi
通辽,tongliao
太仆寺,taibusiqi
突泉,tuquan
头道湖,toudaohu
唐县,tangxian
唐山,tangshan
唐海,tanghai
桃城,taochengqu
太原,taiyuan
天镇,tianzhen
太谷,taigu
屯留,tunliu
潼关,tongguan
太白,taibai
铜川,tongchuan
天桥,tianqiaoqu
泰安,taian1
泰山,taishanqu
郯城,tancheng
台儿庄,taierzhuang
滕州,tengzhou
天池,tianchi
天山,tianshan
头屯河,toutunhequ
吐鲁番,tulufan
托克逊,tuokexun
铁干里克,tieganlike
塔中,tazhong
塔什库尔干,tashikuergan
喀什,tashishi
特克斯,tekesi
塔城,tacheng
托里,tuoli
图木舒克,tumushuke
铁门关,tiemenguan
同仁,tongren1
同德,tongde
天峻,tianjun
通渭,tongwei
天祝,tianzhu
天水,tianshui
陶乐,taole
同心,tongxin
汤阴,tangyin
唐河,tanghe
桐柏,tongbai
通许,tongxu
台前,taiqian
太康,taikang
太仓,taicang
通州,tongzhou1
亭湖,tinghuqu
铜山,tongshan1
天宁,tianningqu
泰州,taizhou2
泰兴,taixing
团风,tuanfeng
铁山,tieshan
通城,tongcheng
通山,tongshan
天门,tianmen
桐庐,tonglu
桐乡,tongxiang
台州,taizhou
天台,tiantai
泰顺,taishun
田家庵,tianjiaanqu
太湖,taihu
桐城,tongcheng1
太和,taihe
屯溪,tunxi
天长,tianchang
铜陵,tongling
铜官山,tongguanshanqu
铜陵,tonglingjiaoqu
铜官,tongguanqu
台江,taijiangqu
同安,tongan
泰宁,taining
铜鼓,tonggu
泰和,taihe1
天心,tianxinqu
天元,tianyuanqu
桃源,taoyuan
桃江,taojiang
通道,tongdao
桐梓,tongzi
台江,taijiang
天柱,tianzhu1
铜仁,tongren
通川,tongchuanqu
通江,tongjiang1
天全,tianquan
天河,tianhequ
台山,taishan
太华山,taihuashan
腾冲,tengchong
通海,tonghai
天等,tiandeng
藤县,tengxian
覃塘,tantang
田阳,tianyang
田东,tiandong
田林,tianlin
天峨,tiane
铁山港,tieshangang
天涯,tianyaqu
屯昌,tunchang
台湾,taiwan
台北,taibei
台中,taizhong
台南,tainan
桃园,taoyuanqu
台东,taidong
武清,wuqing
万盛,wansheng
万州,wanzhou
巫溪,wuxi
巫山,wushan
武隆,wulong
五常,wuchang
望奎,wangkui
五大连池,wudalianchi
乌伊岭,wuyiling
五营,wuying
乌马河,wumahequ
汪清,wangqing
瓦房店,wafangdian
望花,wanghuaqu
文圣,wensheng
武川,wuchuan
乌海,wuhai
乌达,wudaqu
乌兰察布,wulanchabu
翁牛特,wengniute
乌审,wushenqi
五原,wuyuan
乌前旗,wuqianqi
乌中旗,wulatezhongqi
乌后旗,wulatehouqi
乌后旗,wuhouqi
乌前旗,wulateqianqi
乌拉盖,wulagai
乌兰浩特,wulanhaote
乌斯太,wusitai
无极,wuji
望都,wangdu
万全,wanquan
围场,weichang
文安,wenan
吴桥,wuqiao
武邑,wuyi
武强,wuqiang
威县,weixian1
魏县,weixian
武安,wuan
万柏林,wanbolinqu
武乡,wuxiang
万荣,wanrong
闻喜,wenxi
五台,wutai
五台山,wutaishan
五寨,wuzhai
文水,wenshui
未央,weiyangqu
武功,wugong
渭城,weicheng
吴起,wuqi
吴堡,wubu
渭南,weinan
渭滨,weibin
王益,wangyiqu
武城,wucheng
潍坊,weifang
潍城,weichengqu
微山,weishan
汶上,wenshang
无棣,wudi
威海,weihai
文登,wendeng
五莲,wulian
乌鲁木齐,wulumuqi
乌市牧试站,wulumuqimushizhan
乌鲁木齐,wulumuqixian
乌尔禾,wuerhe
乌什,wushi
温宿,wensu
乌苏,wusu
乌恰,wuqia
温泉,wenquan
五家渠,wujiaqu
乌兰,wulan
渭源,weiyuan
武威,wuwei
武山,wushan1
武都,wudu
文县,wenxian
吴忠,wuzhong
文峰,wenfengqu
卫辉,weihui
卫滨,weibinqu
魏都,weidu
舞钢,wugang
卫东,weidongqu
宛城,wanchengqu
卧龙,wolongqu
尉氏,weishi
武陟,wuzhi
温县,wenxian1
舞阳,wuyang
无锡,wuxi1
吴中,wuzhong1
吴江,wujiang
维扬,weiyang
武进,wujin
武汉,wuhan
武昌,wuchangqu
武穴,wuxue
五峰,wufeng
伍家岗,wujiagang
吴兴,wuxingqu
温岭,wenling
温州,wenzhou
文成,wencheng
武义,wuyi1
婺城,wuchengqu
五河,wuhe
芜湖,wuhu
芜湖,wuhuxian
无为,wuwei1
望江,wangjiang
武平,wuping
武夷山,wuyishan
湾里,wanliqu
武宁,wuning
婺源,wuyuan1
万年,wannian
万载,wanzai
万安,wanan
望城,wangcheng
武冈,wugang1
武陵源,wulingyuan
乌当,wudang
务川,wuchuan1
瓮安,wengan
万山,wanshan
威宁,weining
望谟,wangmo
温江,wenjiang
武侯,wuhouqu
万源,wanyuan
武胜,wusheng
威远,weiyuanxian
五通桥,wutongqiaoqu
汶川,wenchuan
旺苍,wangcang
翁源,wengyuan
武江,wujiang1
五华,wuhua
吴川,wuchuanshi
五华,wuhuaqu
巍山,weishanxian
文山,wenshan
武定,wuding
威信,weixin
维西,weixi
武鸣,wuming
武宣,wuxuan
梧州,wuzhou
万秀,wanxiu
涠洲岛,weizhoudao
文昌,wenchang
万宁,wanning
五指山,wuzhishan
望德,wangde
西城,xichengqu
徐汇,xuhui
徐家汇,xujiahui
西青,xiqing
秀山,xiushan
香坊,xiangfangqu
向阳,xiangyangqu
逊克,xunke
新林,xinlin
西林,xilinqu
新青,xinqingqu
新兴,xinxingqu
向阳,hegangxiangyang
兴山,xingshanqu
兴安,xinganqu
西安区,xianqu
新民,xinmin
西岗,xigangqu
岫岩,xiuyan
新宾,xinbin
新抚,xinfuqu1
溪湖区,xihuqu
西市,xishiqu
新邱,xinqiuqu
细河,xihequ
西丰,xifeng
兴隆台,xinglongtaiqu
兴城,xingcheng
新城,huhehaotexincheng
希拉穆,xilamuren
兴和,xinghe
锡林浩特,xilinhaote
西乌旗,xiwuzhumuqinqi
西乌旗,xiwuqi
镶黄旗,xianghuang
锡林郭勒,xilingguole
小二沟,xiaoergou
新左旗,xinbaerhuzuoqi
新右旗,xinyouqi
兴安盟,xinganmeng
锡林高勒,xilingaole
行唐,xingtang
辛集,xinji
新乐,xinle
新华,xinhuaqu
徐水,xushui
雄县,xiongxian
宣化,xuanhua
下花园,xiahuayuanqu
兴隆,xinglong
香河,xianghe
献县,xianxian
沧州新华,cangzhouxinhuaqu
邢台,xingtai
新河,xinhe
小店,xiaodianqu
杏花岭,xinghualing
新荣,xinrongqu
昔阳,xiyang
襄垣,xiangyuan
隰县,xixian
襄汾,xiangfen
乡宁,xiangning
新绛,xinjiang1
夏县,xiaxian
忻州,xinzhou
忻府,xinfuqu
兴县,xingxian
孝义,xiaoyi
西安,xian
新城,xincheng
咸阳,xianyang
旬邑,xunyi
兴平,xingping
旬阳,xunyang
西乡,xixiang
夏津,xiajin
新泰,xintai
薛城,xuecheng
小渠子,xiaoquzi
新市,xinshiqu
新和,xinhe1
新源,xinyuan
谢通门,xietongmen
西宁,xining
循化,xunhua
兴海,xinghai
西固,xiguqu
西峰,xifeng1
西和,xihe
夏河,xiahe
兴庆,xingqingqu
西夏,xixiaqu
西吉,xiji
荥阳,xingyang
新密,xinmi
新郑,xinzheng
新乡,xinxiang
新乡,xinxiangxian
许昌,xuchang
襄城,xiangcheng
许昌,xuchangxian
新华,pingdingxinhua
信阳,xinyang
息县,xixian1
新县,xinxian1
西峡,xixia
淅川,xichuan
新野,xinye
祥符,xiangfuqu
新安,xinan
西工,xigongqu
夏邑,xiayi
修武,xiuwu
浚县,xunxian
西华,xihua
项城,xiangcheng1
西平,xiping
新蔡,xincai
陕州,xiazhouqu
玄武,xuanwuqu
下关,xiaguanqu
锡山,xishan
新吴,xinwuqu
相城,xiangchengqu
响水,xiangshui
徐州,xuzhou
新沂,xinyi
盱眙,xuyi
新浦,xinpu
新北,changzhouxinbeiqu
兴化,xinghua
新洲,xinzhou1
襄阳,xiangyang
襄州,xiangzhou1
襄阳襄城,xiangyangxiangcheng
孝感,xiaogan
孝昌,xiaochang
孝南,xiaonanqu
浠水,xishui
下陆,xialu
西塞山,xisaishan
咸宁,xianning
咸安,xianan
兴山,xingshan
猇亭,xiaoting
西陵,xilingqu
咸丰,xianfeng
宣恩,xuanen
仙桃,xiantao
萧山,xiaoshan
下城,xiachengqu
西湖,xihu
秀洲,xiuzhouqu
象山,xiangshan
新昌,xinchang
仙居,xianju
谢家集,xiejiajiqu
萧县,xiaoxian
休宁,xiuning
相山,xiangshanqu
宣城,xuancheng
宣州,xuanzhouqu
厦门,xiamen
翔安,xianganqu
霞浦,xiapu
仙游,xianyou
秀屿港,xiuyugang
秀屿,xiuyu
芗城,zhangzhouxiangcheng
新罗,xinluoqu
新建,xinjian
星子,xingzi
修水,xiushui
浔阳,xunyangqu
信州,xinzhouqu
新干,xingan
峡江,xiajiang
信丰,xinfeng
寻乌,xunwu
兴国,xingguo
湘东,xiangdong
新余,xinyu
湘潭,xiangtan
湘乡,xiangxiang
湘潭,xiangtanxian
新化,xinhua
新邵,xinshao
新宁,xinning
湘阴,xiangyin
新晃,xinhuang
溆浦,xupu
新田,xintian
湘西,xiangxi
息烽,xifeng2
修文,xiuwen
小河,xiaohe
习水,xishui1
西秀,xixiuqu
兴义,xingyi1
兴仁,xingren
新都,xindu
新津,xinjin
攀枝花西区,panzhihuaxiqu
西充,xichong
宣汉,xuanhan
叙永,xuyong
兴文,xingwen
西昌,xichang
喜德,xide
新龙,xinlong
乡城,xiangchengxian
小金,xiaojin
新丰,xinfengxian
兴宁,xingningshi
香洲,xiangzhouqu
徐闻,xuwen
霞山,xiashan
新会,xinhui
新兴,xinxing
湘桥,xiangqiaoqu
信宜,xinyishi
寻甸,xundian
西山,xishanqu
祥云,xiangyun
宣威,xuanwei
西畴,xichou
新平,xinping
西盟,ximeng
香格里拉,xianggelila
西双版纳,xishuangbanna
兴宁,xingning
西乡塘,xixiangtang
忻城,xicheng
象州,xiangzhou
兴宾,xingbin
兴安,xinganxian
秀峰,xiufeng
桂林象山,guilinxiangshan
兴业,xingye
西林,xilinxian
秀英,xiuying
西沙,xisha
新界,xinjie
新北,xinbei
新竹,xinzhu
新竹,xinzhuxian
延庆,yanqing
杨浦,yangpuqu
渝中,yuzhongqu
永川,yongchuan
渝北,yubei
云阳,yunyang
酉阳,youyang
依兰,yilan
延寿,yanshou
依安,yian
阳明,yangmingqu
伊春,yichun
伊春,yichunqu
友谊,youyi
榆树,yushu
永吉,yongji
延边,yanbian
延吉,yanji
伊通,yitong
于洪,yuhongqu
元宝,yuanbaoqu
义县,yixian
营口,yingkou
银州区,yinzhouqu
玉泉,yuquanqu
元宝山,yuanbaoshanqu
伊克乌素,yikewusu
